Elapsed_time,count
1.6689300537109375e-06,1
0.2675156593322754,2
2.523136854171753,3
3.4928066730499268,4
4.5551838874816895,5
5.432387828826904,6
6.254070997238159,7
6.961612939834595,8
8.069814205169678,9
8.36844539642334,10
8.67959213256836,11
9.061450958251953,12
